Company Name,Industry,Symbol
3M India Ltd.,CONSUMER GOODS,3MINDIA
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB
ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING,POWERINDIA
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG
APL Apollo Tubes Ltd.,METALS,APLAPOLLO
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS
Aarti Industries Ltd.,CHEMICALS,AARTIIND
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS
Abbott India Ltd.,PHARMA,ABBOTINDIA
Adani Enterprises Ltd.,METALS,ADANIENT
Adani Green Energy Ltd.,POWER,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS
Adani Total Gas Ltd.,OIL & GAS,ATGL
Adani Transmission Ltd.,POWER,ADANITRANS
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES
Aegis Logistics Ltd.,SERVICES,AEGISCHEM
Affle (India) Ltd.,IT,AFFLE
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA
Alembic Ltd.,PHARMA,ALEMBICLTD
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD
Alkem Laboratories Ltd.,PHARMA,ALKEM
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE
Alok Industries Ltd.,TEXTILES,ALOKINDS
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM
Angel Broking Ltd.,FINANCIAL SERVICES,ANGELBRKG
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL
Atul Ltd.,CHEMICALS,ATUL
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED
Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK
BASF India Ltd.,CHEMICALS,BASF
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML
BSE Ltd.,FINANCIAL SERVICES,BSE
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO
Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG
Balaji Amines Ltd.,CHEMICALS,BALAMINES
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND
Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA
Bank of India,FINANCIAL SERVICES,BANKINDIA
Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK
Bata India Ltd.,CONSUMER GOODS,BATAINDIA
Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL
Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS
